reviewContent,label,rating
"Barang bagus sampai dengan aman mulus, produk cocok buat anak kostan, tv gampang di bawa pindahan, seller komunikatif good seller Ikedo , harga terjangkau dapat voucher, packing 2 lapis karton + buble wrap, tebal didalam ada sterofoam, JNE untuk saat ini okelah, gan harus di tempel sticker pecah belah supaya lebih oke.",positive,4
Kak mau ini masih ya?  Pengiriman aman?,positive,5
Barang sampai lama dan saat datang kurir tidak professional dan menyusahkan serta merugikan customer tolong untuk jasa pengiriman lazada harus kasih perhatian lebih,negative,1
"bagus barangnya, walaupun 29,2gb tapi enggak apa-apa semoga awet",positive,5
Barang bagus dan original 100 %..  mantap ...,positive,5
Barang belum diterima kom status sudah selesai bagaimana sih? Niat jualan enggak? Balikin duiy gue woi,negative,1
terimakasih real pict pokoknya..,negative,3
barang aman bagus,negative,3
barang ok..sesuai deskripsi...gamabar tajam suara ok..sayang untuk tv analog kurang kuat sinyal ya .,positive,4
"sip.. !jempol_ke_atas! original,  32gb real..",positive,5
bagus. contras warna kurang bagus. gambar tidak bisa diputar. harga sesuai dengan kwalitas,positive,4
"mantap, cepat bangetz pengiriman nya. cuman 1 hari untuk karena saya domisilinya di Jakarta.  untuk produk nya benar-benar sesuai sama di deskripsi.  pokoknya sukses terus buat Lazada sama agen-agen penjualnya. !wajah_malaikat!!wajah_malaikat!!wajah_malaikat!",positive,5
"gan fd nya korup file yang di copy semua pada enggak bisa di buka, setelah di chek cuman 100mb dari 32gb. saya kecewa mau saya balikin biar kapasitasnya jadi 2gb lah setidanya",negative,1
"paket sudah datang,bagus mudah-mudahan awet",positive,5
Mantap dan thanks atas kecepatan pengirimannya. bareng sesuai dengan gambar. Recom banget untuk seller,positive,5
"respon penjual bagus, cuman pengirimannya yang lama banget. hampir sebulan pesanan baru saya terim",negative,2
"barang sudah di terima dan berfungsi dengan baik. pengiriman cepat, pesan tanggal 11 pada saat sale sampai besok siangnya tanggal 12.",positive,5
"sesuai,mantap lah pokoknya.enggak nyeselsaya beli disini",positive,5
Barang ok punya,positive,5
mntap barang nya bagus,positive,5
Dikirim kemedan enggak pakai packing kayu coba. Untungnya tv enggak ada masalah sudah pakai lebih dari 6bln. Saran jangan ambil resiko untuk keluar Jabodetabek. Ngeri euy.,negative,1
"mantap, sesuai deskripsi",positive,5
"Barang cepat sampai packing bagus, top deh kualitas OK",positive,4
"pengiriman sangat lama dari estimasi... padahal harusnya barang di kirim bareng sama yang 40inch karena pesan 2 di orderan sama. tapi,pengiriman beda... kalo produk juara.",negative,2
Barangnya bagus tapi pengirimannya yang kurang bagus karena lama sekali..,positive,4
barang cepat panas.... mudah-mudahan awet saja,positive,5
"belum coba sih, mudah-mudah mantul,.. terima kasih buat JNE pengirimanya cepat bayar tanggal 19 barang spai tanggal 20 kurirnya seperti biasa baik ramah mantul deh pokoknya",positive,5
Barangnya tidak berfungsi.untuk pemutaran film gagal semua,negative,1
"Barang Bagus kualitas material standart, yang bikin nilai plus itu OS nya, cuma fre HOOQ nya bagaimana ya??? naik rate kalo sudah ada kejelasannya",negative,1
"Produk Bagus, sesuai dengan warna, dapat bonus Pouch + Bolpoin.",positive,4
"flashdisk error dijual, tidak brfungsi cuma jadi rongsok...",negative,1
enggak respon sama sekali...mubazir enggak kepake,negative,1
saya pesan 2 kok 1 datangnya bayar nya double juga,negative,1
"packing mantap,namun dipnengiriman terlambat 3 hari",positive,5
"Pengiriman tidak sesuai waktunya, laptopnya harus update OS nya dulu, dapat Office 365 trial 1 bulan",negative,3
"paketnya sesuai dengan deskripsi,  keren pokoknya",positive,5
"Pesan pas tanggal 11 nov kemarin, barang sudah diterima tanggal 14 nov, cukup cepat juga. semua kelihatan normal, sudah saya rakit dengan braket. tapi barusan menyadar kalo VIP card tidak saya temukan. mohon penjelasan pihak lazada. dan juga pada setting tv saya tidak aktif, jadi saya tidak dapat mengatur kecerahan gambar.",negative,3
"produk bagus, cuma kurang gede dikit, yang pasti lumayan lama, nama'ya juga produk luar negeri",positive,4
"sangat mngcewakan, karena produk yang aku terima bukan produk trsbut, barang sudah aku kmbalikan, tapi kenapa pnmbalian dana enggak di proses sampai saat ini, tolong jangan sampai mncoreng nama baik toko anda/lazada, mohon untuk sgra di tindak lanjuti",negative,1
"pesan tanggal 02 juni estimasi sampai tanggal 04 - 07 juni,, lah ini sudah tanggal 11 juni belum ada kabar juga....",negative,1
Barangnya sudah sampai semoga awet dan penjual nya sangat responsif maaf belum sempat di coba,positive,5
"kurir ya enggak benar, barang belum di terima",negative,1
"TV COOCA 4K UHD 50 inch sudah unboxing & dipakai ok , kualitas gambar Bagus sudah di test 4K ok  ; suara bagus . Hanya perlu belajar cara mengoperasikan remote karena tidak ada instruksi detailnya . Terima kasih",positive,5
"pengiriman cepat sehari deh sampai tapi sayang enggak packing kayu.. untuk barang seperti ini harusnya packing kayu. Alhamdulillah tv mendarat dengan baik, dan semua normal.. mudah-mudahan tvnya awet.",positive,5
mantab.,positive,5
"Rusak barang tiba ke aceh, TV hancur",positive,5
"barang cepat sampai, packing bagus",positive,5
bukan 64gb tapi 32gb. kapasitas 32gb bukan 64gb. tidak bisa simpan video.,negative,1
oke barangnya,positive,5
Sesuai pesanan. Packing akan lebih baik jika ditambah buble wrap. Good condition,negative,3
Casenya bagus dan kuat agak besar tapi cocok karena saya mau pakai case busa dari Segate juga. Tolong kebih teliti sebelum dikirim karena tali penahan external HD saya terima hampir putus. Saya malas balikin jadk saya jahit sendiri.,negative,2
"laptopnya mantul,, sesuai dengan apa yang diharapkan.. saya syuka banget",positive,5
"Bangsat benar nih barang, enggak sesuai sama kenyataan, kan anjing benar ini seller",negative,2
Barang dalam kondisi bagus !jempol_ke_atas!,positive,4
"ini yang kasih komentar sama yang kasih bintang lima temen2nya yang punya toko kali ya , atau orang-orang yang beruntung , saya sangat kecewa barang kagak bisa dipakai sama sekali ......semoga berkah mas / mbak jualan nya ya , amin",negative,1
katanya ini 32 gb tapi nyatanya cuma 29gb. dan made ini china. bagaimana sih. padahal official store loh ini,negative,2
enggak bisa buat nyimpan video,negative,3
"Saya sangat puas beli tv philips 32""led hd tv-hitam baru pesan 2 hari sudah di kirim",negative,3
"barangnya sampai cepat, tapi dicoba copy film tidak ada yang bisa dibaca.",negative,1
recomendet seller,positive,5
Sudah setahun saya pakai... sangat bagus,positive,5
"Nyalin file nya enggak bisa , kebanyakan enggak bisa dilihat/didengar 97% , enggak bagus , menyesal , padahal baru pakai .",negative,1
Best quality,positive,5
bagys,positive,4
bagus sesuai gambar tidak mengecewakan,positive,5
"Berhubung saya sudah beberapa kali melakukan pembelian di lazada dan memuaskan, akhirnya saya memutuskan untuk membeli tv ini di lazada, saya order tanggal 31 mei 2017 untuk pengiriman di kantor saya dan tanggal 2 juni barang sudah sampai kantor, berhubung saya sudah pulang akhirnya saya putuskan untuk ambil tv tanggal 3 juni 2017 dan kondisi waktu itu packing dengan kayu rapi, namun alangkah terkejutnya setelah saya bongkar ternyata layar tv sudah pecah parah, saya sangat kecewa..apakah bisa barang di tuker?",negative,1
sangat mamuaskan... Recommended lah pokoknya,positive,5
"bagus , top deh",positive,5
"keren, pengiriman cepat, kurir ramah,  semoga awet.. cuma tidak pack kayu",positive,5
Rekomende seller.. Barang sampai lebih cepat dari perkiraan dan sip barangnya.,positive,5
"Barang cepat sampai, meskipu  barang yang dikirim warna putih, tapi ok banget lah",positive,4
kapasitas boleh gede tapi enggak bisa di format ataupun hapus file. hati-hati enggak ada garansi pula.,negative,1
"Alhamdulillaah sampai dengan selamat ke madura sampang tamberu,,  semoga awet.  terima kasih pakai kurir yang ramah terima kasih lazada",positive,5
Bagus dtgnya cepat banget,positive,4
"Sesuai detail pesanan seharusnya barang sudah saya terima maksimal tanggal 23 desember 2016, bahkan barang sudah dikirim tanggal 16 desember. Logika nya kalau memang penjual dan barang berada lokasi di jabodetabek apakah perlu 10 hari lebih untuk mengirim barangnya ke alamat saya di Bekasi? Diminta CANCEL/REFUND tidak pernah bisa dengan alasan Barang sudah proses pengiriman. padahal TIDAK ada bukti otentik bahwa barang sudah di kirim, no resi yang diberikan tidak bisa di lacak di website kurir pengiriman. Lebih baik belanja di website online lain yang lebih terpercaya! Pelayanan LAZADA tidak professional, sudah 5x lebih komplen jawabannya hanya ""akan ditindaklanjuti ke pihak terkait""",negative,1
"baru 3 hari pakai, sudah kena power nya.... harus di garansi.... dan menunggu sparepart dari Jakarta",negative,3
barang sudah mpai wlpun ada masalah sedikit tapi syukur barang aman...cuma enggak kayu padahal dichat terterah pakai kayu  enta masih nyalah atau gax belum dicoba,negative,1
kok belum datang ya ??,negative,2
"thx barang sudah datang,barang bagus sesuai di gambar. cuma pengiriman nya saja yang agak lama..",positive,4
"Kualitas produk baik, harga cukup bersaing.",positive,5
"Barang sudah sesuai ,, cuman fre pengin sama ponch nya enggak ada ..",negative,2
barang 64 gb tapi pas di isi data nya cuma 8gb,negative,1
Ini asli 32 GB gan?,negative,2
enggak tau orisinal atau fake. soalnya dulu pernah beli yang made ini Malaysia beda ukuran dan berat. yang ini lebih kecil dan ringan. tapi overal bisa dipakai. okok saja,positive,5
"Barang yang dikirim sih packingnya bagus.  Cuman ini bukan seri LC-32LE180i tapi Yang dikirim LC-32LE185i yang build quality nya kurang bagus. Apalagi warna putih yang frame tv nya kelihatan kayak baru di cat putih.  Suara sih oke, cuman tetap features nya itu loh standar banget. Gambar juga kurang tajem.",negative,1
"Tv 40inc termurah tapi dengan kualitas yang enggak murahan, sering"" saja mengadakan flash sale biar  makin banyak orang indonesia yang punya tv 40 inc hehe",positive,5
barangnya bagus.. harga nya ok,positive,5
enggak ada celana dalam raw'a padahal di gambar ada.. Sama plug buat ke proyektor..  Apa bisa di kembalikan??,negative,2
"Otg nya enggak berfungsi , terus pengirimannya lama banget padahal sudah pesan di jauh-jauh hari.. sandisknya bagus sesuai gambar , mengira ukurannya besar ternyata agak kecil .. mks lazada",negative,3
Barang sesuai pesanan thx lazada,positive,5
mantab walaupun telat sampai,positive,5
"Barang diterima baik, working, cuman layarnya saja ada goresan dikit tapi enggak menganggu. Overal recomended banget",positive,5
barang nya juga belum keterima tapi ada laporan sudah keterima bagaimana urusannya?,negative,1
"Mantab deh sampai barangnya,  Waktu cek barang saya lihat puter puter barangnya untung indak ada cacatnya Lagi promo awal tahun juga, harga miring barang oke, ty ya gan",negative,3
pakaging bagus.. sudah ditest gambar bagus... suara OK.. sambungan dengan internet OK tapi belum ketemu cara koneksi Aux ini dengan Home theater seller... yahuuuud!jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!,positive,5
buat kalian ini seler enggak recomended.. masa colokan ac/Dc nya beda... enggak di cek dulu pasti...,negative,2
kualitas produk OK di atas harapan. pengirimannya terlambat 3 hari dari batas akhir.,positive,4
"Terima kasih Lazada, terima kasih Xiaomi. Barang nya diterima dengan baik walau hanya sekedar dibungkus bubble wrap.",positive,5
Harga yang dibayarkan tidak sesuai harga Flash sale..lebih mahal..hati hati buat yang lain.. Proses pembatalan tidak bisa dilakukan dan pengajuan pembatalan pembatalan via jalur lain pun tidak di tanggapi lazada..parah.. Baru kali ini kecewa berat..,negative,1
memuaskan 2 hari order langsung samappai,positive,5
"Produk bohong, Fre OTG tidak ada, mohon di ban toko kayak begini lazada",negative,1
terlalu sangat lama.pengiriman gambarnya sampai saya harus hubungan.cs pusatnya.mungkin bisa di kasih pilihan opsi jasa pengiriman.jangan langsung otomatis,positive,5
trimakasih ya braketnya sudah tiba.. pengiriman hanya 2 hari,positive,5
kenapa belum sampai juga dari tanggal 15 desember pemesanan nya???,negative,1
1 kata. packing rapi banget...dibikin takjub.. bareng keren sesuai gambar. warna juga jelas..input banyak..serba bisa terima kasih.,positive,5
semua berfungsi dengan naik,positive,5
"Paket cepat kurir oke banget mudah²an barang lebih oke dan tahan lama apa lagi garansi seumur hidup ini kalou eroor nantinya janji harus di ganti ya, tks sukses selalu",positive,5
"Packing, wrapping juga bagus, tv nya bagus",positive,5
"Flashdisk awalnya bisa untuk menyimpan data, tapi langsung error dan tidak bisa dibaca dan dibuka !wajah_terlalu_lelah!!wajah_terlalu_lelah!!wajah_terlalu_lelah!",negative,1
"pesan flasdisk malah dpet memory,,, bagaimana ce!!! bisa di retur enggak nech? menyebalkan, nunggunya lamad dpetnya malah enggak memuaskn seperti ini. hadeeech,,,, !wajah_tersenyum_sombong!!wajah_tersenyum_sombong!!wajah_tersenyum_sombong!!wajah_tersenyum_sombong!!wajah_tersenyum_sombong!",negative,3
Min ini ada tempat celana dalam nya enggak ?,negative,2
"sumpah kecewa banget sama lazada, baru kemarin beli flashdisk, ini dipakai buat copy, tapi filenya enggak muncul, cuma shortcutnya doang, enggak sebanding dngn harganya yang mahal,",negative,1
tidak berfungsi dengan baik sangat kecewa,negative,1
pengiriman nya cepat terimakasih,negative,3
"Barang sudah diterima,",positive,5
"bagus belum ada kendala, tapi ngirimnya hanya bubble wrap, overal enggak ada masalah",negative,3
"asli, bagus, packing aman sentosa.. harga murah.. real capacity",positive,5
"Saya sudah pesan dari minggu kemarin tapi belum Sampai sampai, kalo di lihat dari informasi akan sampai pada hari Jumat lalu, tapi belum ada juga",negative,2
BARANG NYA enggak BAGUS.,negative,1
"barang sesuai dengan judul,cepat sampai,kemasan baik,banyak bonusnya..,pokoknya tidak mengecewakan",positive,5
"Barang sudah diterima sesuai pesanan, berfungsi dengan baik tidak ada kendala.harga termurah dari situs online yang lain. Terimakasih lazada.",positive,5
worth itu .... sukak...semoga awet. barang sudah diterima tanggal 25 mau 2019,positive,5
"Masih bingung ini orisinal apa bukan, karena enggak ada hologram garansi 5thn nya yang di pojok kiri",negative,3
"Datang dalam keadaan cuma pakai bubble wrap selapis tanpa packing kayu, sempat khawatir karena beda pulau (kaltim) utgnya buka dus semua normal. Fre backet itu omong kosong, kalau harga tanpa promo gratis bracket 99rb harga (1,699), kalau lagi promo potongan 100rb harga jadi (1,599) tapi fre bracket di hapus sama saja bohong wkwkwkwk. Dolby Audio sprtinya cuma gimmick, audio cuma bisa mono doang. sudah coba cari settingan agar bisa stereo enggak ada, di manual book juga enggak ada. Speaker tv bawaan suaranya enggak bagus, harus pakein speaker eksternal atau soundbar biar suaranya lumayan enak. Kejernihan layar masih jauh dari tv merk jepang. ya, ada harga ada rupa. enggak usah trllu berharap banyak, tv sampai dengan selamat saja sudah syukur !wajah_gembira_dengan_mata_bahagia!",negative,3
Bersyukur dapat sanDisk harga murah terima kasih lazada,positive,5
"Packing nya rapi dan aman. Cuma sedikit kecewa karena kapasitas nya enggak ful 2tb. Kapasitas nya Cuma 1,7tb. Selain itu sih puas lah...",negative,3
"barang datang terlambat 1 hari dari waktu pengiriman, sudah dicek packing bagus/rapi dan berfungsi normal",negative,3
"bagus bangus banget, pengiriman cepat juga..mantap mau beli 1 lagi",positive,5
ini tidak begitu bagus batrai sehari habis bagaimana pun juga namanya barang murah kualitas tetap jauh dengan yang mahal dan paling tidak suka selalu keluar iklan walaupun teh tidak di pakai,negative,2
"saya enggak terima barang nya,kok stts sudah terima ya.",positive,5
Pengiriman tidak sesuai tanggal yang tertera,negative,2
"enggak sesuia dengan spec yang di gambar, katanya bisa usb ini ternyata enggak bisa bagaimana ini, mau saya kembalikan bagaimana cara returnya ya",negative,1
Suara laptopnya kok berisik ya entah kipas atau hardisk nya,negative,2
good price and product,positive,5
tv bagus harga murah,positive,5
"kau nih barang, tapi wajar sih kalo lihat harga",negative,3
"barang mantap,  mkasih",positive,5
"Paket sampai lebih cepat dari perkiraan, quick respon sehari setelah pembayaran ada sms sari merchan warna gold tidak available dan ditawarkan warna pengganti, silver cukup keren",positive,4
"Algamdulillah terpercaya, barang sampai kurang dari 1 minggu ke Bontang, Kalimantan Timur  fre ongkir. Barang juga sesuai. Terima kasih",positive,5
"sempat khawatir tentang pengiriman barang yang katanya sering tidak sampai ataupun telat banget.Banyak sih ke khawatiran yang lainnya seperti barang rusak dl.Alhamdulillah pesan kamis malam sabtu sore sudah sampai.Barang Mulus.Fungsi Normal.Semoga awet dan canggih.Tapi belum semua siaran tv tertangkap.Kenapa ya? padahal lokasi rumah di Kota Bekasi.Masih coba search untuk indosiar,trans tv dan trans 7.siaran juga cenderung banyak semut.mungkin ada saran supaya lebih jernih?? padahal memakai antena luar.",positive,4
"packaging rapi, barang sampai dengan selamat, terima kasih",positive,5
"flashdisk nya bagus, packing ok, recommend banget!hati_hitam!",positive,5
Tidak bisa berfungsi menyimpan data,negative,1
"agak kecewa sama ekspedisi yang terlalu lama, bahkan melebihi estimasi dari puhak lazada H+1 ekspedisi alhamdulillah barang sampai, packing kayu, aman enggak ada lecet dan macemacem, sejauh ini barang masih oke punya , dapat flash sale, harga lumayan oke, kualitas standar led tv pada umunya, suaranya juga cukup oke,cukup ya, tapi dari segi harga, ini worth itu banget, harga tanpa flash sale pun masih bisa di bilang worth itu, cuman sayang kalau di sambung ke pc, alias jadi monitor, tidak bisa ful hd, karena layar terpotong enggak tau kenapa, jadi harus kompensasi sdiiit turunin resolusi di 1600px, tapi enggak terlalu jadi masalah, terimakasih lazada, barangnya oke, CS nya ramah sampai di telfon 2x setelah laporan barang lambat datang, semoga barangnya awet2 saja",positive,5
"barang nya bagus sudah dicoba,gambarnya jernih banget suara juga oke dan fre bracket , hanya saja kecewa di pengiriman,lewat dari tggl estimasinya.mohon ditingkatkan lagi pelayanan nya karena saya pelanggan setia lazada",positive,4
"Gan, bisa instal win 7 enggak ya?",negative,3
pengiriman cepat tapi sayang barang enggak orisinal,negative,3
Saya puas sekali dengan barangnya....tapi Jne nya yang lama,positive,4
"barang sampai dengan selamat &  tepat waktu,, walaupun belum saya coba",positive,4
"Puas dengan kondisi yang sama seperti pict, cuman sayang belum terinstal apa²",positive,4
Garansi nya garansi resmi enggak pak,positive,5
"sudah beli 3pcs di toko ini, 1 bisa langsung colokan ke tv dan yang 2 enggak bisa",negative,3
Barang good 🖒 sudah di pakai dan tidak ada masalah untuk pengguna mac. Pouchnya juga bagus,positive,5
"tak sesuai dengan apa yang di tuliskan, tidak satu pun dari bonus yang saya dapatkan, yang saya dapat malah kabel data, miniusb fan dan usb light",negative,2
packing rapi cuma pengiriman agak lambat,negative,3
Luar biasa sudah 20 hari sejak pemesanan enggak sampai-sampai nih Tv. Padahal sudah ready kok kalau itu Tv nya sampai. Kecewa,negative,1
"barang belum saya terima,  masih di kurir belum di antar ke alamat saya.",negative,2
Kapasitas 29 gb bukan 32,negative,2
"barang ok,realpict....recomended .",positive,5
"Barang cepat sampai, dalam kondisi mulus, warna sesuai permintaan",positive,5
"lama pengiriman, tapi barang dalam kondisi yang baik.",positive,5
mendarat dengan selamat.. barang sesuai gambar... moga awet... kuriry sopan n rama... sangat puas belanja di sini... trim...,positive,5
Product ok saya suka dan sudah dicoba !wajah_tersenyum_dengan_mata_bahagia! saya suka dan packing kirimnya rapi banget ty !jempol_ke_atas_warna_kulit_cerah!,positive,5
Keren ah suka banget original pula,positive,5
Caranya bagaimana ya,negative,1
enggak bisa dipakai. Begitu copy filenya hilang,negative,1
"TV saya beli ketika flash sale 09.09 1 bulan lalu, sebulan pemakaian TV normal tidak ada kendala baru kemarin TV tidak bisa menyala ketika kabel power di colokkan ke listrik seperti tidak ada power listrik masuk.. Bagaimana saya cara mengklaim garansi TV nya dengan unit baru? saya punya Cooca VIP Card Replacement Guarante..",negative,1
mantap  tidak meleset dari jadwal pengiriman dan kurir ramah  . kira pakai sepada motor ternyata kurir nya pakai mobil mantap deh lazada  !jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!,positive,5
Flashdisknya error sering enggak kebaca di komputer,negative,2
"Barang ok, pengiriman agak lama",negative,3
"Flashdisk nya terlihat bagus, tapi 1 rusak, enggak bisa dipakai",negative,2
"Bagus murah, kwalitas enggak murahan lho",positive,5
pengiriman molor 3 minggu saya kecewa,negative,1
fre headset tidak ada (tidak sesuai promonya)  aplikasi word tidak ada,negative,3
Digital tv nya sama sekali enggak nangkep ubtuk daerah purwokerto,negative,2
"terima kasih lazaad seller,brng sudah datang,tapi kok enggak dah kartu garansinya,tolong dong unyuk kartu garansinya dikirimkan kealamat saya",positive,5
alhaddulilah sampai degan Selamat berfungsi dengan normal!wajah_tersenyum_dengan_mata_bahagia!!jempol_ke_atas!!jempol_ke_atas!,positive,5
"sudah diterima, tapi belum dipakai. thanks",positive,5
"Barangnya mulus ok banget, terima kasih Lazada",positive,5
PESANAN # 364549487 Di pesan pada 04/08/2016 SanDisk Flash Disk Cruzer Blade 32 GB....SAMPAI DETIK INI TIDAK DITERIMA & TIDAK ADA PENYELESAIANX....,negative,1
"Kecewa, flashdiskny enggak bisa diformat ke NTFS + copy file gede corrupt, mau jdiin bootable windows eh detect nya bukan 32gb malah jadi 33gb -_- abal nih fd kekny...",negative,2
"ternyata benar ya, lemot habis, mengetik saja bisa ketinggalan hurufnya. internet pun sampai bolot. cuma menang layarnya saja 15"". sayang mau yang pakai pros A4 habis.",negative,3
sue sue data ku hilang semua kga bisa di buka...usb macam apa ini...aduh..bagaimana nih kalo deh begini..l,negative,1
"barangnya sudah mendarat dengan selamat di Denpasar,walau packingnya cuma pakai bubble wrap tapi penanganan nya ok.semua berjalan normal tanpa ada kendala.terima kasih cocca n lazada.",positive,5
barangnya rusak enggak bisa di pakai,negative,2
Barang sudah diterima.. Terima Kasih.. dan berfungsi.,positive,5
kapasitas 29 GB,positive,5
Tulisanya 32 Gb..aktual 3.89 gb..kecewa.,negative,1
Netflix nya juga bermasalah di seri ini.......,positive,4
"lumayan, speed read 80MB/si write speed 40MB/si",positive,5
"Produk bagus banget, Ayam peliharaan saya pada suka dibikinin kandang dari kardusnya. Saya cuma butuh kardusnya buat kandang ayam, TV nya malah buat main karambol anak saya.....",positive,5
Yang datang Ryzen 5 Guys. Tidak sesuai ekspektasi. Sudah saya kembalikan dan tolong tanggung jawabnya.,negative,3
Kualitas produk sebanding dengan harga. Tapi dibawah harapan saya dengan nama besar Philips.,negative,3
"barang original, packing rapi dan pengiriman cepat sampai.",positive,5
kok di play di tv enggak ke baca ya,positive,5
Barang cepat datang.. packing bagus.. bonusannya mantul..,positive,5
barang yang dikirim tidak berfungsi,negative,1
"Baca ulasan pada bilang sudah digital tapi ternyata masih mono, buat menonton film gambar jernih tapi saluran tv jelek pakai antena dalam ""no signal"" seringnya",negative,1
"sandisk selalu teruji, tidak pernah ragu",positive,5
"mantap,,3 hari sampai,,kapasitas 64gb fre 59.5gb",positive,5
"luarnya ok, kapasitas ok tapi sayang tidak bisa simpan video.",negative,1
barang cepat sampainya...deh dipakai dan bagus.... packing rapi...rekomend deh.....,positive,5
"barang nya sesuai sih sama bayangan aku, tapi setelah dicek kok cuma 28 gb saja ya, terus baru dicolok beberapa menit sudah panas begitu kenapa ya.",positive,5
barang sesuai dengan pic.. mantap,positive,5
"enggak becus kau jualan, tutup saja toko kau.. apa yang diminta enggak sama dengan yang kau kirim.. kau pikir aku enggak bisa membedakan mana yang micro USB dengan yang type-sih. Aku pesan dua, tapi bukan dua duanya micro USB.",negative,1
"Barang bagus n berfungsi. Mungkin tambahan saja n perlu diperhatikan dalam pengepakanya lebih baik lagi. Skalian mu bertanya. TV ini dibelakang ada lubang USB, apa TV ini sudah bisa USB Move.?",negative,3
TV mantap... ini baru TV.. kemarin punya saya menang harga doang.. mahal” kualitas nya msi oke xiaomi ini.. bisa YouTube lagi.. puas banget dah .. thank’si Lazada,positive,5
tidak bisa menyimpan video banyak-banyak,negative,1
barang belum datang,negative,1
Mana ini pesanan saya? Saya sudah tunggu 2 hari tak kunjung datang,negative,1
real pict .. thx lazada,positive,5
Kok pesanan saya #3444826346 di batalkan ya ?? Ada apa ini padahal kurirnya deh sempat ke rumah nganter barangnya terus karena saya tidak di rumah pas dia bawa barangnya katanya hari senin mau ke rumah lagi kurirnya. Setelah saya cek email katanya barang yang saya beli di batalkan.. mohon informasinya lebih jelas agar saya bisa pesan kembali jika itu benar** di batalkan,negative,1
saya kecewa sekali dengan layanan Lazada/pratama store. saya beli dua macam bareng flashdisk hp.32 dan SanDisk Micro SD.32 yang datang barangnya satu macam saja yaitu 2 (dua) buah Flashdisk. apa bisa flashdisk dikembalikan dan diganti dengan SanDisk karena selisih harga yang lumayan. Terimakasih atas atentionnya.,negative,1
bagus laptop ya,positive,5
rapi banget packingnya...,positive,5
"barang sudah sampai, baru dibuka belum di periksa.... pengiriman lumayan cepat, kurirnya juga ramah. mudah²an barang tidak mengecewakan",negative,3
!nilai_seratus! original,negative,3
Barang bagus sesuai harapan.,positive,5
"Barang sesuai di gambar, packing rapi,biasanya kiriman bermasalah kali ini lancar dan cepat sampai, puas deh sama produk ini thx lazada",positive,4
barang bagus dan sesuai tapi pengiriman lelet banget,negative,3
"Alhamdulilah sudah diterima, sempat was2 bareng kali enggak muat lu/ tempat pb vivan ku, syukurlah muat",positive,4
"sangat bagus,  tingkatkan pelayanannya dan jaga kepercayaan pelanggan.",positive,5
barang nya enggak bagus,negative,1
barang sampai dengan selamat dan lengkap sesuai pesanan tanpa kekurangan!patung_liberty!!patung_liberty!!patung_liberty!...,positive,5
Bagus banget barang nya,positive,5
flashnya mantap,positive,5
bima,negative,1
paket cepat paking rapi barang mulus.terimakasih.... lazada,negative,3
