Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,text,Sentiment,Emotion
Books,Buku mommyclopedia - 78 resep mpasi ( full color ),Jakarta Pusat,40000,5.0,415,189,4,"Maaf baru kasih ulasan.. Buku nya bagus, berwarna, tulisan nya juga jelas, tapi ada di brapa halaman lem nya gx kuat ya, jadi pada copot lembaran nya.. seller, dan kurir oke",Positive,Happy
Books,BUKU NOVEL DUNIA SOPHIE-REPUBLISH,Jakarta Selatan,135000,4.9,947,639,5,sampai dengan selamat,Positive,Happy
Books,BUKU NOVEL DUNIA SOPHIE-REPUBLISH,Jakarta Selatan,135000,4.9,947,639,4,buku udah pasti original dan sangat bagus dengan pengemasan super aman hanya saja pengirimannya lambat,Positive,Happy
Books,RAPIJALI DEE LESTARI - NON TTD,Jakarta Selatan,99000,5.0,941,529,5,"packing aman, pengiriman cepat, barang sesuai foto dan deskripsi, highly recommended",Positive,Love
Books,RAPIJALI DEE LESTARI - NON TTD,Jakarta Selatan,99000,5.0,941,529,4,barang cepat sampe. penjual fast respond. cuma dpt produk yg covernya agak lecek.,Positive,Happy
Books,DUNIA ANNA,Jakarta Selatan,65000,5.0,232,151,5,"bagus barangnya ga cacat, pelindungnya tebel, pengirimannya cepet banget",Positive,Happy
Books,DUNIA ANNA,Jakarta Selatan,65000,5.0,232,151,4,defect dikit di ujungnya tp gpp,Positive,Happy
Books,Midnight Library /UK,Jakarta Timur,198000,5.0,271,159,5,"cepet banget pengirimannya, pengemasannya pun cepat dan dengan plastik bubble yg tebel banget jd aman.",Positive,Happy
Books,Midnight Library /UK,Jakarta Timur,198000,5.0,271,159,4,"pesanan aman dan pengirimannya cepet. seller juga responsif. bukunya ternyata gak tebel. thanks seller, bukunya sampe dalam keadaan aman. sayang aja gak kebagian bookmarks nya Periplus pdhl belanja banyak.",Positive,Happy
Books,1984 by George Orwell,Jakarta Timur,146000,4.9,215,113,5,Bubble wrap tebal. Original. Kualitas baru dan baik.,Positive,Happy
Books,1985 by George Orwell,Jakarta Timur,146000,4.9,215,113,4,Service pengiriman cepat,Positive,Happy
Books,I Saw The Same Dream Again,Kab. Tangerang,83000,5.0,234,152,5,Terimakasih barang sudah sampai dengan Selamat,Positive,Happy
Books,I Saw The Same Dream Again,Kab. Tangerang,83000,5.0,234,152,4,"Barang sudah sampai, packing bagus",Positive,Happy
Books,Novel Keajaiban Toko Kelontong Namiya Malice Newcomer Keigo Higashino - The Newcomer,Jakarta Barat,74400,5.0,188,75,5,"Buku ori, pengiriman cepat dan aman pakai bubble wrap",Positive,Happy
Books,THE MAGIC LIBRARY,Jakarta Selatan,69000,5.0,156,96,5,"arrived safely! yayy puas banget, thank uuu Mizan! cantik banget bukunya????. ga ada defect apapun yuhu, puass! thank youu mizan!!????",Positive,Love
Books,THE MAGIC LIBRARY,Jakarta Selatan,69000,5.0,156,96,5,pengiriman standart dan buku sampai dengan aman,Positive,Happy
Books,THE MAGIC LIBRARY,Jakarta Selatan,69000,5.0,156,96,5,"pengiriman cepat, buku sampai dengan selamat, keadaan buku baik baik saja, buku tidak ada cacat dan kekurangan",Positive,Happy
Books,THE MAGIC LIBRARY,Jakarta Selatan,69000,5.0,156,96,5,"pengiriman cepat, packing rapi dan aman. barang nya sesuai gambar. maaf gak sempat di foto",Positive,Happy
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Kab. Bandung Barat,50000,4.9,5675,1776,3,"barang sampe bungkusnya udh sobek, untungnya bukunya masih aman walau ujungnya sedikit rusak",Positive,Happy
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Kab. Bandung Barat,50000,4.9,5675,1776,3,"ujungnya sedikit robek dan rusak, tapi secara keseluruhan baik",Positive,Happy
Books,BUKU 1984 - GEORGE ORWELL,Jakarta Selatan,89000,4.9,163,119,3,"Bonus kalender nya lecek2, buku ok",Positive,Happy
Books,Buku Filosofi Teras - Original,Jakarta Barat,78400,5.0,1296,741,3,"barang nya sampe dengan baik, tapi buku bukunya sangat mahal mungkin bisa di kurangin sedikit, saya suka banget dengan bukunya dan sepertinya saya aka beli buku lagi di sini terima kasih",Positive,Love
Books,Buku JAGO PROYEK untuk Arsitek dan Sipil,Kota Tangerang,167000,4.6,562,187,3,"Saya kira bukunya gede ternyata kecil,selain kecil tidak tebal juga.untuk packing lebih di tingkatkan lagi karena bukunya ujungnya basah.selebihnya termasuk respons bagus ..",Positive,Happy
Books,Spy x Family 01,Kota Tangerang Selatan,36000,5.0,412,278,3,"so far barang yg aku terima bagus no cacat, tp barang ini agak cacat di covernya, kynya dr pengiriman karena pas sampe packingnya dah kebuka gak tau kynya di sobek buat ngeliat isinya sm si kurir atau gmna jdnya bukunya kegesek huhu sedih sih tp untungnya cm cover doang gk sampe ke dalem",Positive,Happy
Books,Kapita Selekta Kedokteran Edisi 4 Revisi 2016 (Buku 1+ 2) Original,Jakarta Barat,185000,4.9,1137,368,3,"Fast reponse , barang beberapa halaman ada yang blank",Positive,Happy
Books,Kapita Selekta Kedokteran Edisi 4 Revisi 2016 (Buku 1+ 2) Original,Jakarta Barat,185000,4.9,1137,368,3,barang bagus sesuai gambar tapi gaberwarna,Positive,Happy
Books,[ ORIGINAL ] Atlas Anatomi Manusia Edisi 7 - Frank H Netter,Jakarta Barat,352000,4.9,262,126,3,"Isi buku bagus, saya beli sekalian minta disampul. Tetapi halaman-halaman banyak yang menyatu, harus kita potong dengan cutter atau pisau secara manual. Sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan dan memberitahu apabila ada kecacatan. Kemudian bila ada konsumen yang chat setelah barang sampai jangan cuman diread saja. Semoga bisa jadi bahan intropeksi dan membuat tokonya lebih maju",Positive,Happy
Books,BUKU MEDITATIONS - MARCUS AURELIUS,Jakarta Selatan,89000,4.9,518,346,3,pengiriman lama. cuma penjualnya responsif. blm bisa kasih bintang 5,Positive,Happy
Books,BUKU MEDITATIONS - MARCUS AURELIUS,Jakarta Selatan,89000,4.9,518,346,3,"bukunya sesuai, pengiriman cepat namun diletakkan begitu saja di lantai tanpa pemberitahuan/komunikasi dari kurir jika barang mau diletakkan/dititipkan, ada defect minor pada buku, tolong tingkatkan lagi kualitas packaging dan koordinasi dengan kurir",Positive,Happy
Books,KOSMOS by Carl Sagan,Jakarta Barat,80000,4.9,316,167,3,"Over all bagus, hanya pengirimannya sedikit bermasalah, terimakasih",Positive,Happy
Books,KOSMOS by Carl Sagan,Jakarta Barat,80000,4.9,316,167,3,Packing ok di dalem di kasih bubble wrap. Buku juga ok isinya gk ada yg cacat cuman syang pinggiran buku nya sedikit rusak. Overal cukup puas beli di sini. Tunggu orderan sya selanjutnya,Positive,Happy
Books,Buku Yasin dan tahlil / yasin Soft Cover - YS 1,Kota Tasikmalaya,5750,4.9,27500,324,3,"barang bagus sesuai dekripsi.,tapi sayang packingnya kurang rapi dan ada beberapa yang rusak yasinnya.",Positive,Happy
Books,Buku JAGO PROYEK untuk Arsitek dan Sipil,Kota Tangerang,167000,4.6,562,187,5,sesuai deskripsi,Positive,Happy
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Jakarta Barat,108000,4.9,462,251,5,"pengiriman cepat, packing rapih, buku masih tersegel dengan aman. terimakasih banyak.",Positive,Happy
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Jakarta Barat,108000,4.9,462,251,5,Kemasannya sangat bagus,Positive,Happy
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Jakarta Barat,108000,4.9,462,251,5,Mantap ori,Positive,Happy
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Jakarta Barat,108000,4.9,462,251,5,barang sampai dengan aman,Positive,Happy
Books,Sejarah Dunia Yang Disembunyikan - Jonathan Black,Jakarta Barat,108000,4.9,462,251,5,fast response pengiriman cepat packing aman dan rapi buku ori harga bersaing,Positive,Happy
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Jakarta Utara,345000,4.9,955,440,4,"sesuai, ada kendala awalnya, tapi terselesaikan dengan cepat dan tanpa repot",Positive,Happy
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Jakarta Utara,345000,4.9,955,440,5,Selama Saya berbelanja di Tokopedia. ini adalah pesanan dengan layanan tercepat yang saya terima. biasanya estimasi waktu pengiriman ke darah saya 5 hari. tapi Paket Business is FUN hanya 2 hari. the best.,Positive,Love
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Jakarta Utara,345000,4.9,955,440,5,"Mantaaapppp, wajib dibaca ini mah.",Positive,Love
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Jakarta Utara,345000,4.9,955,440,5,"Cepet nyampe, seller oke",Positive,Happy
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Kab. Tangerang,225000,4.9,390,214,5,"admin fast respon, ramah, bukunya ori, diterima dalam keadaan tersegel, dimasukan dus dibungkus bubble wrap ..sangat memuaskan..terima kasih banyak",Positive,Happy
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Kab. Tangerang,225000,4.9,390,214,5,"Fast response, cepat sampai, sesuai pesanan. Recommended !!!",Positive,Love
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Kab. Tangerang,225000,4.9,390,214,4,"cuma penyok penyok doang , sisanya bagus kok",Positive,Happy
Books,Technical Analysis For Mega Profit (Hardcover) - Edianto Ong,Kab. Tangerang,225000,4.9,390,214,4,"Buku bagus, baru cek sekilas dalamnya tapi gaada masalah sih keknya. b4 karena detail covernya agak rusak gitu. ya itu aja sih keluhannya",Positive,Happy
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Kab. Tangerang,160000,4.9,416,203,4,"barang original, packaging aman.",Positive,Happy
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Kab. Tangerang,160000,4.9,416,203,5,"Barang original, pengemasangan sangat baik dan sangat cepat, seller sangat fast respon",Positive,Love
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Kab. Tangerang,160000,4.9,416,203,5,"Barang yg diterima dalam kondisi baik, pengirimannya lebih lama dari estimasi awal tp overall ok karena seller bantu informasikan kenapanya.. Thank you!",Positive,Happy
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Kab. Tangerang,160000,4.9,416,203,5,Pengiriman cepat + aman banyak bubble wrap. Harga pun lebih murah daripada competitor. Mantap.,Positive,Happy
Books,The Alchemist 25th Anniversary: A Fable About Following Your Dream,Kab. Tangerang,160000,4.9,416,203,5,Sdh 2x beli disini dan gak pernah ada masalah. Packaging dan pengiriman oke.,Positive,Love
Books,Your Name - Shinkai Makoto - Haru,Kota Tangerang Selatan,99900,4.9,211,155,5,Bahasa Indonesia. Diterima dengan baik. Barang bagus dan ori. Pengiriman cepat. MANTAPP JIWAAA ????,Positive,Love
Books,Your Name - Shinkai Makoto - Haru,Kota Tangerang Selatan,99900,4.9,211,155,5,"brg sesuai deskripsi, sukses selalu",Positive,Happy
Books,Your Name - Shinkai Makoto - Haru,Kota Tangerang Selatan,99900,4.9,211,155,5,"Pelayanannya mantap, dan respon penjual cekatan serta pengirimannya yang singkat. Terimakasihhh atas layanan dan bonus buku Cinta/Pergi",Positive,Happy
Books,Komik Seri : One Piece ( Eiichiro Oda ),Jakarta Barat,22400,4.9,7178,1018,5,"komik asli, pengemasan tebal diisi bubble wrap, pengiriman cepat ??",Positive,Happy
Books,Komik Seri : One Piece ( Eiichiro Oda ),Jakarta Barat,22400,4.9,7178,1018,5,"Produk asli, penjual respondsif, packaging rapi",Positive,Happy
Books,Komik Seri : One Piece ( Eiichiro Oda ),Jakarta Barat,22400,4.9,7178,1018,4,barang bagus kualitas oke,Positive,Happy
Books,"Al-Quran Tajwid Bukhara ukuran A6, Alquran Syaamil saku resleting",Jakarta Selatan,62000,4.9,3638,1353,4,"Sempat terkendala dgn pengiriman, tapi dibayar dgn barang yang bagus dan packing nya rapih.",Positive,Happy
Books,Buku Gambar Arsitektur,Jakarta Timur,52000,4.9,2463,674,5,Barang sesuai,Positive,Happy
Books,Buku Gambar Arsitektur,Jakarta Timur,52000,4.9,2463,674,5,bagus dan cepat,Positive,Happy
Books,Buku Gambar Arsitektur,Jakarta Timur,52000,4.9,2463,674,4,"Ok lah, buku sesuai pesanan",Positive,Happy
Books,Noisy Animals Sound Book with 60 Fantastic Sounds,Jakarta Utara,215000,5.0,1547,824,5,bgs bgt. anak2 suka sekali. terimakasih,Positive,Love
Books,Noisy Animals Sound Book with 60 Fantastic Sounds,Jakarta Utara,215000,5.0,1547,824,5,Bukunya bagus bgt semoga anakku suka.. pengemasannya rapi dan cepat meskipun ada yg lecet dikit tp seller mau bertanggung jwb dengan ksh diskon. Respon sellernya ramah sekali. Thanks yaa,Positive,Love
Books,Noisy Animals Sound Book with 60 Fantastic Sounds,Jakarta Utara,215000,5.0,1547,824,5,"Ramah, pelayanan cepat, packaging rapih dan aman, pesanan pun sesuai dengan catatan. Terbaik, request pake kertas kado dan kartu ucapan pun free of charge. Belum pernah failed sih beli disini.",Positive,Happy
Books,"Buku Anak, Buku Cerita Bergambar Seri Mengenal Hewan Bilingual Murah",Jakarta Utara,4000,4.9,44200,2130,5,Barang bagus & sesuai deskripsi anakku senang banget!! Harga murah & pengiriman cepat,Positive,Happy
Books,"Buku Anak, Buku Cerita Bergambar Seri Mengenal Hewan Bilingual Murah",Jakarta Utara,4000,4.9,44200,2130,5,bukunya bagus dan harganya bersahabat banget bisa buat nambah perbendaharaan cerita si kecil,Positive,Happy
Books,"Buku Anak, Buku Cerita Bergambar Seri Mengenal Hewan Bilingual Murah",Jakarta Utara,4000,4.9,44200,2130,5,bagus bagusss semua. warnanya menarik bikin anak senang liat2 gambarnya.,Positive,Love
Books,"Buku Anak, Buku Cerita Bergambar Seri Mengenal Hewan Bilingual Murah",Jakarta Utara,4000,4.9,44200,2130,5,bagus bgt bukunya. suka. makasih,Positive,Love
Books,Buku JAGO PROYEK untuk Arsitek dan Sipil,Kota Tangerang,167000,4.6,562,187,4,barang aman dan sesuai pesanan,Positive,Happy
Books,Dale Carnegie - How To Win Friends and Influence People-Simon & Schust,Kab. Bogor,54450,4.9,232,111,5,"barang sesuai deskripsi, makasih seller",Positive,Happy
Books,Dale Carnegie - How To Win Friends and Influence People-Simon & Schust,Kab. Bogor,54450,4.9,232,111,4,cepet nyampenya bagus bukunya,Positive,Happy
Books,Spy x Family 01,Kota Tangerang Selatan,36000,5.0,412,278,5,Puas. Barang diterima dengan kondisi Baik dan tidak ada kendala.,Positive,Happy
Books,Spy x Family 01,Kota Tangerang Selatan,36000,5.0,412,278,4,"Ada sedikit cacat, selainnya oke",Positive,Happy
Books,Komik KOMPLIT Demon Slayer Kimetsu no Yaiba by Koyoharu Gotouge,Jakarta Barat,210000,5.0,193,150,5,"pesanan sesuai dengan apa yang diharapkan dan tidak mengecewakan. Mengenai barang tidak ada kecacatan sama sekali, pengemasannya sangat rapi Dan kuat, pengirimannya cepat, serta respon penjual cepat dan ramah. semoga sukses selalu, terimakasih.",Positive,Happy
Books,Komik KOMPLIT Demon Slayer Kimetsu no Yaiba by Koyoharu Gotouge,Jakarta Barat,210000,5.0,193,150,4,"barangnya sesuai pesanan dan bagus banget, tapi ada satu yg agak aus samping luar nya karena packibg kebuka.",Positive,Happy
Books,Bumi Bulan Matahari Bintang Ceros Batozar Komet Minor Selena Nebula - SELENA,Jakarta Barat,85000,4.9,106,41,5,"Barang original berkualitas, pengiriman cepat.",Positive,Happy
Books,Bumi Bulan Matahari Bintang Ceros Batozar Komet Minor Selena Nebula - SELENA,Jakarta Barat,85000,4.9,106,41,4,terimakasih buku sudah sampai,Positive,Happy
Books,Kapita Selekta Kedokteran Edisi 4 Revisi 2016 (Buku 1+ 2) Original,Jakarta Barat,185000,4.9,1137,368,5,"pengiriman cepat, dibungkus rapi bubble wrap tebel, buku original, udah disampul rapih bgt, terbaik deh pokoknya!!",Positive,Love
Books,Kapita Selekta Kedokteran Edisi 4 Revisi 2016 (Buku 1+ 2) Original,Jakarta Barat,185000,4.9,1137,368,4,Produk diterima kondisi baik. Pengiriman cepat dan packing rapi. Respon penjual oke,Positive,Happy
Books,[ORIGINAL] Satu-Satunya Buku EKG Yang Anda Perlukan 8e - Malcolm S.,Jakarta Barat,120000,5.0,638,199,5,Pengiriman cepat dan buku aman,Positive,Happy
Books,[ORIGINAL] Satu-Satunya Buku EKG Yang Anda Perlukan 8e - Malcolm S.,Jakarta Barat,120000,5.0,638,199,4,"Sesuai dg deskrip yg jual, packing bagus, dan tidak ada cacat, nanti sy mau pesan lagi.",Positive,Love
Books,[ ORIGINAL ] Atlas Anatomi Manusia Edisi 7 - Frank H Netter,Jakarta Barat,352000,4.9,262,126,5,"buku sampai 2 hari setelah pemesanan, lumayan cepat pengirimannya. buku tiba dengan bubble wrap dan dalamnya masih dikemas dengan kardus lagi. overall bagus",Positive,Happy
Books,[ ORIGINAL ] Atlas Anatomi Manusia Edisi 7 - Frank H Netter,Jakarta Barat,352000,4.9,262,126,4,"Bukunya bagus, original tapi sayang dapet yang binding bagian bawahnya kurang bagus",Positive,Happy
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,Kab. Tangerang,195000,4.9,1723,1005,2,Terjemahannya berantakan bgt. Mending beli yg versi inggrisnya aja,Negative,Anger
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,Kab. Tangerang,195000,4.9,1723,1005,1,Pengiriman lama,Negative,Anger
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,Kab. Tangerang,195000,4.9,1723,1005,3,"pengiriman lamaaaaaaaaaaaaa, ditanya dulu baru sadar",Negative,Anger
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,Kab. Tangerang,195000,4.9,1723,1005,3,"Packing perbaiki ,buku datang sudah penyok",Negative,Anger
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,Kab. Tangerang,195000,4.9,1723,1005,3,"parah sih bukunya ada yang sobek, lain kali cek dulu kondisi bukunya sebelum kirim",Negative,Fear
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,Kab. Tangerang,195000,4.9,1723,1005,3,"penyok, packingnya juga kurang aman",Negative,Anger
Books,Buku The Intelligent Investor (Edisi Revisi) . Benjamin Graham HC,Kab. Tangerang,195000,4.9,1723,1005,3,packingnya kurang memuaskan,Negative,Fear
Books,Technical Analysis for Mega Profit (HC) Cover baru,Jakarta Barat,180000,4.9,1174,613,3,"Bukunya pas dibuka agak kotor gtu, terus ada beberapa penyokan disisi buku :(",Negative,Sadness
Books,Technical Analysis for Mega Profit (HC) Cover baru,Jakarta Barat,180000,4.9,1174,613,3,Bubble wrap mana bukunya jadi kena benturan :(,Negative,Sadness
Books,Technical Analysis for Mega Profit (HC) Cover baru,Jakarta Barat,180000,4.9,1174,613,3,respon cepat..cuma buku sampul hardcovernya penyok2..ada beberapa halaman sekitar 8 halaman yang posisinya kebalik-balik..,Negative,Sadness
Books,Buku Japanese Candlestick Charting Techniques By Steve Nison,Jakarta Barat,150400,5.0,255,139,2,barang sampai dengan kondisi hancur. packing luar tidak ada sobek,Negative,Anger
Books,Hyouka,Kab. Tangerang,67500,5.0,1144,675,3,Ada beberapa kalimat yang kosong. Saya cukup kecewa dan hal itu sangat menggangu saya ketika membaca.,Negative,Sadness
Books,(BARU) Buku Rich Dad Poor Dad . Robert T Kiyosaki Motivasi Best Seller,Kab. Tangerang,65000,4.9,1826,738,3,Buku yang sampai Warna kertas agak Kuning kaya kertas buram.,Negative,Anger
Books,(BARU) Buku Rich Dad Poor Dad . Robert T Kiyosaki Motivasi Best Seller,Kab. Tangerang,65000,4.9,1826,738,3,jasa pengiriman nya di ganti tanpa konfirmasi... kurang memuaskan,Negative,Anger
Books,I Want To Die But I Want To Eat Tteokpokki,Kab. Tangerang,99000,4.9,1565,975,3,"sorry cuma kasih bintang 3, sebetulnya mau bintang 2 tp aku tambah 1 krn respon adminnya yg ramah sm cepat. Sengaja beli di official shop berharap cepat karena mau buat kado temen, tp malah bikin kecewa karena salah kirim novel jadi retur makan proses jd gagal buat kado,Yah i know maybe human error cuma aku cm pesen satu dan salah :') semoga lebih teliti lagi kedepannya yamin",Negative,Sadness
Books,I Want To Die But I Want To Eat Tteokpokki,Kab. Tangerang,99000,4.9,1565,975,3,"Halo penerbit haru, bukunya sampai dengan cepat. Tapi pengemasannya sangat kurang. Mohon menggunakan bubble wrap supaya tidak terjadi kerusakan dalam pengiriman. Sangat disayangkan pengemasannya tidak ada pengamanannya. Jadi buku yg saya terima sedikit kurang baik. Terimakasih.",Negative,Sadness
Books,Bicara Itu Ada Seninya,Jakarta Timur,72000,4.9,1561,844,3,Proses barang sampe pengirimanmya lamaaa,Negative,Anger
Books,[ORIGINAL] Satu-Satunya Buku EKG Yang Anda Perlukan 8e - Malcolm S.,Jakarta Barat,120000,5.0,638,199,3,Penjual kurang ramah,Negative,Anger
Books,Dale Carnegie - How To Win Friends and Influence People-Simon & Schust,Kab. Bogor,54450,4.9,232,111,3,"Kualitas kurang bagus, kertasnya tipis, bukan buku original",Negative,Fear
Books,"Kamus john m echols/ kamus inggris-indonesia, indonesia-inggris",Kab. Bogor,40000,4.8,234,24,3,penjual tidak ramah,Negative,Anger
Books,I Want To Die But I Want To Eat Tteokpokki,Kab. Tangerang,99000,4.9,1565,975,2,"Pengirimannya gimana ya ini? Sayang bgt bukunya jadi cacat gitu, jadi keliatan bekas :( padahal buat kado",Negative,Sadness
Books,[ORIGINAL] Satu-Satunya Buku EKG Yang Anda Perlukan 8e - Malcolm S.,Jakarta Barat,120000,5.0,638,199,1,banyak halaman terulang. malu saya pas kasih hadiah.,Negative,Sadness
Books,Bicara Itu Ada Seninya,Jakarta Timur,72000,4.9,1561,844,2,"Pegawai nya kurang fokus nih , pengiriman kurang satu bukunya , kirim lagi dengn nama yang lain lagi",Negative,Anger
Books,Bicara Itu Ada Seninya,Jakarta Timur,72000,4.9,1561,844,1,pengirimannya lama banget,Negative,Anger
Books,The Power of Language,Kab. Tangerang,79000,5.0,676,488,2,Waktu datang plastiknya sudah sobek dan akhirnya bukunya kotor. Tolong lain kali di cek lagi sebelum dikirim...,Negative,Fear
Books,Bicara Itu Ada Seninya,Jakarta Timur,72000,4.9,1561,844,1,Kecewa pesanan sama barang yang dikirim tidak sesuai,Negative,Sadness
Books,The Psychology of Money - Morgan Housel,Kota Bogor,75000,5.0,1269,744,2,Buku palsu,Negative,Anger
Books,The Psychology of Money - Morgan Housel,Kota Bogor,75000,5.0,1269,744,1,"Barangnya ga sampe, ga ada return dari pihak yg bersangkutan",Negative,Fear
Books,(BARU) Buku Rich Dad Poor Dad . Robert T Kiyosaki Motivasi Best Seller,Kab. Tangerang,65000,4.9,1826,738,2,"sampul gompal-gompal, kayak barang reject",Negative,Fear
Books,(BARU) Buku Rich Dad Poor Dad . Robert T Kiyosaki Motivasi Best Seller,Kab. Tangerang,65000,4.9,1826,738,1,"Barang tidak di kirim sampai sekarang, respon penjual payah dan mengecewakan, bikin kapok, kalau barang nggak ada tolong uang ku di kembalikan",Negative,Sadness
Books,BUKU The 7 Habits of Highly Effective People Stephen R. Covey,Kab. Tangerang,120000,4.9,1299,648,2,Kecewa sih pas dibuka ada bagian yg rusak. entah ketika pengiriman utau memang kondisi bukunya.,Negative,Sadness
Books,BUKU The 7 Habits of Highly Effective People Stephen R. Covey,Kab. Tangerang,120000,4.9,1299,648,1,"Sampul gue yang dikasih ga bagus, ada bagian peyot. Padahal gue beli buku baru.",Negative,Anger
Books,LUMPU,Jakarta Timur,85000,5.0,404,268,2,pengirimannya koq lama bgt ya..order kamis..br dikirim senin.itupun setelah dichat tny kapan dikirim..alhasil gagal memberi kejutan.tolong perbaiki kinerjanya ya..,Negative,Fear
Books,Buya Hamka,Jakarta Selatan,90000,5.0,373,230,1,Buku yang saya pesan terdapat 16 halaman yang kosong. Bagaimana cara menukarkannya?,Negative,Fear
Books,Buku Bisnis Terbaik dijual Online - Business is FUN! by Coach Yohanes,Jakarta Utara,345000,4.9,955,440,2,"Chatt, hampir Ga ada respond",Negative,Anger
