content,label
"barangnya asli, adminnya responsif, rekomen deh buat beli LM disini pokoknya . next bisa beli lagi kesini, jadi aman enggak perlu keluar rumah. pertahankan ya seller!",Positive
"sebenarnya kualitas barang nya bagus, build quality oke lah untuk barang rekondisi, untuk memainkan game tidak ada masalah. Masalahnya barang ini bahasa jepang, dan di keterangan deskripsi tidak dijelaskan, setelah barang sampai saya chat seller, dengan balasan yang slow respon dan jawaban seadanya, dikatakan bahasa tidak bisa diganti. Mohon dituliskan kekurangan2 pada deskripsi, dan lebih fast respon kalau ada pembeli yang complain",Negative
sudah top banget lah beli disini juara ke oriannya ... selalu langganan pokoknya..,Positive
Lampunya terang!. Pancaran cahaya lampu yang baik. Produk original ??.,Positive
"pengemasan barang baik, kondisi barang juga utuh tanpa cacat, berfungsi normal dan lancar, respon dan servis dari seler juga baik",Positive
"Sudah beli banyak untuk kebutuhan dikirim keluar negeri ternyata tidak bisa tukar warna padahal belum 30hari,sesuai standard seharusnya masih bisa dilakukan refund. Warna pink terlalu kontras!! Tidak sesuai pada gambar!!",Negative
"arrived safely! yay puas banget, thank u Mizan! cantik banget bukunya????. enggak ada defect apapun yuhu, puas! thank you mizan!!????",Positive
"mantap, bagus dan teba",Positive
"penguncinya kurang 1 baris cuma muat 2 baris saja baris setelah enggak ada penguncinya jadi enggak kepake yang 1 baris,,sisanya, kardus padahal utuh,, kayaknya kurang lengkap pas nyiapkan kadung klik tetima,, mohon lain kali di cek teliti sebelum kirim",Negative
bagus banget gas Torch flame gunnya dan penjualnya juga fast respon dan pengirimannya juga cepat. Produk Original. Packaging Bagus. Produk berfungsi dengan baik.,Positive
barang sudah sampai ..terima kasih bro,Positive
Barang bagus sesuai deskripsi,Positive
"Mantap hijau terang, cuman sayang agak kelipet kotak kotak jadinya... enggak tau cara ngelurusinnya bagaimana, disetrika kayaknya lengket",Positive
MANTAB. RESPON CEPAT. PESANAN TIDAK MENGECEWAKAN. REKOMENDED BUAT BELANJA SPARE PART. TERIMA KASIH ATAS KERJA SAMANYA,Positive
"pesanan aman dan pengirimannya cepat. seller juga responsif. bukunya ternyata enggak tebal. thanks seller, bukunya sampai dalam keadaan aman. sayang saja enggak kebagian bookmarks nya Periplus padahal belanja banyak.",Positive
"paket datang kardus penyok & robek. malu kalo buat kado. sudah banyak yang begini, kenapa tidak ada perbaikan dari mooimom?",Negative
"kualitas barangnya bagus sesuai dengan harapan customer, respon chat juga cepat dan ramah. rekomended seller.. sukses terus lapaknya gan.",Positive
"bahan adem tapi tipis sekali, terawang kalo dipakai. sesuai dengan harga lah... Bahannya adem.",Positive
wangi nya kayak parfum Refil mirahan ??,Negative
"semuanya bagus, tripod.nya kokoh pengemasan aman, rapi pokoknya senang banget terima kasih Tokopedia ??",Positive
"lumayan ,tapi kalau dipakai jalan jauh suka lecet,,,pas jepit jempol dan kaki telunjuk terasa sakit",Negative
enggak kerekam suaranya,Negative
"saya pesan yang gold tengah,tapi yang datang putih,barang enggak sesuai,kecewa",Negative
"beli 6 pieces dengan catatan 6 warna yang berbeda tapi datang dengan warna yang sama kesemuanya,",Negative
"hati-hati beli produk nya. jangan sampai kecewa. berharap dapat hadiah nya, malahan ZONK. niat belanja di official store nya, malah dikirim dari toko cabang . enggak dapat deh HADIAH nya.",Negative
"A BAGUS BANGET PENGIRIMANNYA CEPAT DAN AMAN JUGA PACKAGING NYA, BISA NYALA JUGA tadi sudah DICOBA,, BELI dengan HARGA RP0 SENENGGGBANGET",Positive
Material Produk Bagus. Kualitas Produk Bagus. Produk Sesuai.,Positive
isi tidak penuh dan tidak ada wangi nya. segel hanya pakai solatip seadanya,Negative
"Cukup saya yang di rugikan , karena bareng yang datang saya tidak vidio ini , orderan saya ada 3 yang datang cuma 2, tapi gift dapat 3 bareng sudah mahal , di komplen pun enggak bisa",Negative
"Tidak bisa digunakan secara native, harus menggunakan aplikasi tertentu (tidak disebutkan di deskripsi). Windshield rusak on arrival.",Negative
"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative
barang sangat bagus...pengiriman baik. semoga awet,Positive
"barang nya sesuai deskripsi dan foto, benar-benar bersih saat di coba, dpat bebas ongkir juga dan cpat sampai, terimakasih tokopedia dan seller",Positive
seller lama sekali kirim. order minggu buat rabu pagi sampai selasa enggak dikirim. baru dikirim rabunya. kamis baru sampai sudah kelar butuhnya. sudah request cancel bahkan sebelum barang dikirim tapi seller enggak mau cancelin alasan enggak bisa cancel dari audit sistem.,Negative
tipis banget kayak stocking??,Negative
pengemasan cepat pngrimn cepat..produknyq beda kualitasnya yang ini kapasnya tipis banget dan gmpng bocor.klihatn nerwang enggak rata kpasnya di tgh enggak ada kapasnya..pnts murah ya..kemasn juga bolong�..biasanya saya beli enggak kaya begini amet..maaf kasih bntang 2,Negative
status pesanan sudah selesai dati kemarin sore tapi ternyata produknya belum saya terima sampai hari ini,Negative
"sebelum mempercayakan penyimpanan data kalian . mending pikir dulu deh . saya baru pakai belum 2 minggu , kartu langsung tidak terbaca lagi . mana ada data yang tidak bisa di selamatkan . dan proses garansinya saja pakai estimasi sebulan . ya SEBULAN . mending beli yang pasti saja . merk baru belum tentu terjamin kualitasnya . Be careful and keep healthy . thx",Negative
"seller tidak responsive, pesan dan pengajuan pembatalan selisih 2 menit, malah ditolak pengajuannya. padahal sudah chat pengin ganti tipe barang sama alamat pengiriman tapi enggak diwaro. payah",Negative
"sudah mengikuti prosedur penggunaannya, lemnya enggak bisa lengket. Masa habis di lem sudah kering, sudah dikasih lakban kayak prosedur, sandal yang dilem bisa ditarik. menjengkelkan",Negative
kecewa makanan yang di kirim kurang 1,Negative
"Sangat kecewa sekali. Produk kakinya goyang tidak rata oglek2. hati-hati jika membeli warna putih, karena tidak sesuai difoto produk. Barang yang sampai warna coklat, tapi penjual ngotot meja yang diterima saya itu warna putih sesuai foto dan tidak mau menerima komplain. Saya lihat review beberapa pembeli lainnya juga mengalami hal yang sama seperti saya, dikirimkan warna berbeda dari yang dipesan. Walaupun saya sudah bertanya dulu di msg memastikan sebelum membeli dan menulis pesan sewaktu order, percuma saja.",Negative
enggak sesuai Datang cahaya putih. Padahal meminta cahaya yang hijau,Negative
barang sampai dengan baik. tidak ada cacat. ternyata barangnya kecil juga tapi tetap memuaskan. dan bekerja juga dengan baik.,Positive
mesen apa yang datang apa enggak jelas nih toko periksa lah invoice nya kalo mau dikirm tuh barang bikin kecewa saja,Negative
"Barang cacat, sablonnya tidak rapi, sudah luntur ketika diterima",Negative
barang bosok! sekali pakai rusak.. mau claim dijawab berbelit sama adminnya,Negative
"baguus banget, puaslah dengan carote. ditunggu promo2nya lagi. terima kasih ya",Positive
jepitan nya bagus-bagus cantik anakku suka,Positive
sudah Tertulis +Buble tapi enggak Ada Bublenya...untung enggak pecah...mau komplain nanggung uang 2rb,Negative
"barang yang di gambar itu sudah saya bereskan ulang . tatakan balon nya enggak ada . sudah dikomplain ke pihak tokopedia , biaya nya sudah kembali ke saya tapi tetap ada rasa kecewa karena penjual lagi� tidak menginformasikan ketersediaan barang dan saya lagi perlu banget . maaf dikasih rate segitu .",Negative
"Smart schedule nya enggak bisa nyala, di aplikasi nya failed terus.",Negative
Kualitas produk bagus ??. Jahitan rapi. Potongannya rapi. Desainnya cantik ??.,Positive
"AMAZING!! Respon seller cepat. Barang orisinal seperti di foto dan sesuai deskripsi. Proses pengiriman kilat banget.. Thank you ya kak, sukses selalu :)",Positive
"tidak sesuai dengan yang dipesan, harusnya hitam 1, merah 1, pengiriman lama.",Negative
"Kualitas barang sesuai dengan harganya, cukup bagus, hanya dibagian saat memasang kepala untuk pegangan ponsel saja yang sedikit harus menekan kepalanya ke bagian mur-nya.",Positive
"real pict, pengiriman cepat, pengemasan rapi . worth itu lah hrga segitu. pasti next order",Positive
"Barangnya original ??. Produk berfungsi dengan baik. Suara yang dihasilkan jernih. Mudah digunakan. asli enggak menyesal transaksi disini,agan seller mau jelasin sejelas2nya masalah produk dan variasi2nya,sampai cara penggunaan alatnya sehingga berfungsi semuanya...",Positive
"Packing kurang rapi, pinggir buku menjadi rusak",Negative
"respon cepat,packing ok rapi.orderan sesuai??",Positive
barangnya bagus,Positive
"Barang sudah datang packing rapi, tapi LED nya tidak nyala. bareng datang ketika saya lagi travelling pas di coba LED tidak nyala dan di hubungi tokonya tidak mau bertanggung jawab karena status order telah selesai. Selayaknya bareng di test dahulu sebelum dikirim ke pembeli untuk memastikan semua berfungsi!",Negative
Barang sesuai dengan pesanan. Kotak maskernya lucu. Terima kasih,Positive
"Kebanyakan panjual yang tokonya sudah Diamon, barang yang di kirim tidak di cek kondiri barang masih berfungsi apa tidak, ini barang di kirim tidak berfungsi, Pas di buka tali perekat sudah putus sama saja jual sampah, Buat Buyer yang lain mohon jangan di beli di toko ini, saya dan anda pasti sangat kecewa jangan pernah order di toko ini barang sampah buang buang waktu dan uang saja,mending kalau barang berfungsi tapi ini sama sekali rusak tidak bisa di pakai??????????????",Negative
Gampang dibawa-bawa. Muat banyak buku. Enak buat baca. Packaging aman ??. Packaging rapi.,Positive
"Produk yang dikirim tidak on alias mati, produk rusak yang dikirim, sebagai konsumen saya dirugikan",Negative
"Kecewa karena pengiriman yang lama. Katanya gara-gara pembatasan pengiriman karena Covid-19. Pesan tanggal 1, baru diambil untuk dikirim tanggal 6 dan saya terima tanggal 8. Masih bisa dimaklumi. Tapi eh, pas sudah diterima, ternyata cuma dapat 1 kotak, padahal pesan 2. :(",Negative
"cuma penyok penyok doang , sisanya bagus kok",Positive
kecewa,Negative
sangat kecewa..barang rejectan di jual..pelayanan sangat buruk..kaya enggak butuh uang..respon buruk parah.kalo barang enggak ada bisa konfirmasi dulu..enggak asal kirim yang dibeli apa yang dikirim apa,Negative
penjual bilang batterynya 18650 ternyata battery tanam yang tidak bisa di ganti2. Kecewa lah aku.,Negative
"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive
"Barang sampai dengan aman dan dalam kondisi baik, terimakasih. Sukses selalu..",Positive
barangnya jelek cepat rusak baru pakai sehari talinya sudah mau lepas,Negative
Barang enggak bisa dipakai ...lampunya enggak nyala dan sensornya rusak..,Negative
Mantap sesuai.,Positive
"kualitas sesuai harga, respon seller ok, tks",Positive
Menurut saya barangnha kurang bagus. Sorry banget ya biasa belanja disini barangnya bagus banget tapi untuk ini kurang. Celana ini sering banget aku pakai karena enak dan nyaman dan seminggu aku cuci 1x tapi bahannya jadi jelek. Gampang robek dan jadi kayak digambar ini,Negative
"Laptop rusak, pas di aktifkan fan error, setelah di perbaiki ternyata keyboardnya rusak, setelah ganti keyboardnya ternyata adaptornya rusak. jangan belanja disini",Negative
"plastik, ya ada harga ada kualitas",Negative
"Pengirimannya bagaimana ya ini? Sayang banget bukunya jadi cacat begitu, jadi kelihatan bekas :( padahal buat kado",Negative
"Bahan halus,ketebalan seperti batik pada umumnya, motif keren. Akan lebih baik lagi kalo respon chatnya lebih responsif",Positive
Touch screen lancar. Layar sensitif. Respon penjualnya top.,Positive
Keren dan bagus,Positive
enggak NYALAH PARAH,Negative
"dalam ordernya sudah saya tambah 'bubble wrap' (+ rp 10.000), tapi dikirimnya tanpa bubble. Lagian ordernya pagi2 n meminta supaya dikirimnya lebih cepat (instant), ternyata tibanya jam 16an",Negative
"pengiriman cepat namun, saya baru sempat susun dua minggu setelah barang sampai, tapi ternyata cube kurang sekitar 3-6 piece cube polos, jadinya lemarinya tidak kokoh, berharap penjual bisa mengirim part ke kuranganya, supaya saya perbaiki bintangnya. ketika barang berudi terima, saran saya harus ada tabel verifikasi jumlah part dan asesoris nya di sini tidak ada, cara pasang tidak di berikan dengan jelas. jika ini merek; resmi bisa di komplain ke lembaga perlindungan konsumen Indonesia",Negative
Bahannya kuat dan kokoh meski berat bebannya packingnya rapi enggak rusak atau cacat pengirimannya cepat barangnga original,Positive
"keren, sampai Di Korea, hp on, data on, roaming on, enggak perlu setting.. Langsung bisa digunakan?????? Order cepat, produk OK.. Recommended seller??????",Positive
"respon cepat, barang sesuai pesanan..moga awet",Positive
"baru diminum sedikit, besoknya sudah basi :(",Negative
"ini sih bukan 3m asli mengecewakan ,sudah beli 10 tapi begini",Negative
"Beli tanggal 6 agustus 2021, tapi tanggal 13 September sudah error di bagian driving wheels. Akhirna ditanggal itu juga saya kirim T9 nya ke service centre di tangerang. 9 hari kemudian, T9 kembali di tgn saya, tapi kemudian error lagi di tanggal 23 September. Kali ini error di bagian sensor dimana deebot selalu bilang �ozmo pro is being installed. Please move tapi the non carpet area� padahal ozmo pro tidak sedang di attach ke T9 nya. Dikarnakan hal ini, lampu pada deebot akhirna suka bergonta ganti jadi biru putih biru putih. Dan semalaman itu voice report terus menerus bunyi seperti itu. Kalau dsuru bawa service lagi, maaf saja saya bakalan tidak mau berhubung ongkosna yang sangat mahal. jadi untuk sementara ya saya hanya bisa matikan voice reportna dulu saja biar enggak terganggu. Overal, agak mengecewakan T9 ini. Dibandingkan T8 AIVI dan 950, T9 jauh tidak tahan banting. Baru pakai sebulan tapi sudah banyak sekali errornya. benar-benar menyesal juga belinya~ Maaap cuma bisa kasih bintang segene karena ktdkpuasan saya. kalo memang mau consider beli robot, beli baik beli T8 series saja. Lebi tahan banting soale~",Negative
"harus lebih kompak lagi antara owner & admin, perhatikan stock barang, jangan kecewakan konsumen, Terima kasih",Negative
"Respon cepat, ramah, solutif, pekerjaan cepat banget, harga kompetitif keren recommended seller",Positive
"beli 2 datang nya malah 1, pas di buka sudah exited banget jadi Negativemood tenyata cuman 1",Negative
saya beli item ini tetapi pompa elektrik ini tidak bisa di charge. sehingga tidak bisa di pakai. pihak penjual tidak ada respon ! tidak bisa membantu ! saya sangat kecewa. NOT RECOMENDDED !!,Negative
"hati hati ada jebakan. be careful. judul dan deskripsi tertulis Dart Game Besar 17 isi paket : 1 buah papan Dart 17 INCH, kenyataannya, yang dikirim hanya ukuran 15 (15 INCH). be careful.",Negative
"benar-benar sesuai ekspektasi sih, auto belajar Triumph ??",Positive
"cat nya mantap, pengirimannya cepat. ??????",Positive
mengaco banget pesan mouse tapi enggak lengkap. enggak ada penutup batre sama bluetoothnya,Negative
Barang yang dikirim tidak sesuai dengan barang yang diterima,Negative
"mantab, lilinya sesuai terima kasih ya",Positive
"parah, barang rusak retak di komplain malah urusannya sangat ribet! tidak akan beli lagi di sini",Negative
"Respon seller OK.Packaging rapi. Pesanan sesuai. Kukisnya enak teksturnya pas, hanya masih kemanisan mnrt saya. Kalau dikurangi sedikit manisnya lebih ok ??????",Positive
pesanan ndk sesuai... pesan sama di kirim L ....,Negative
Nyaman di kulit Proses pesanan cepat Packaging aman ?? Packaging rapi Respon penjualnya top,Positive
mengecewakan,Negative
"Sesuai,proses n pengiriman cepat,responsif,recommended,barokah,terima kasih",Positive
lampu mati tidak mau nyala meminta di revan,Negative
"barang sudah sampai, packing aman pakai bublewrap, pengiriman cepat, pesan kemarin pagi, tadi pagi sudah datang lagi, kurir ramah dan langganan, terimakasih tokopedia",Positive
JELEK PUTUS SEMUA TALINYA,Negative
barangnya bagus banget. semoga aweet. kalo aweet gua bakalan beli lagi dimari buat cadangaan,Positive
Nyaman dipakai sih kecil. Ukuran sesuai. Bahannya tebal. Bahannya berkualitas. Empuk buat jalan. Modelnya keren ??. Motifnya kekinian.,Positive
"Bagus, sesuai gambar..mantap",Positive
"Pashminanya pendek, enggak seperti yang ada di deskripsi",Negative
infra red nya jelek suka mental ke mana2,Negative
Sesuai pesanan,Positive
"beli banyak macam barang, tapi produk ini tidak dikirimkan",Negative
memang rasanya kayak basi apa bagaimana ?? kok begini amat kayak bau tong sampah,Negative
"sudah sampai terima kasih ya, tapi sedikit mengecewakan karena paketqu enggak di packing dos,cuma bubble saja, padahal saya sudah atc dos + bubble",Negative
"Keren, Sampai Langsung Pasang, jepitannya kelebihan satu, Lemari Gampang dirakit, Warna sesuai, Kualitas Ok, Kokoh. mantap mantap",Positive
"Pengiriman cepat, packaging rapi, produk ok.",Positive
Barang sesuai pesanan dan dikirim cepat,Positive
JELEK BARU DICOBA 2KALI sudah RUSAK. . GIGINYA enggak BISA DI PENCET LAGI,Negative
